overall,reviews,summary
5,Best boots I've ever had. EW fits my Flintstone feet perfectly.,Wonderful for factory floors
5,These work well as bra extenders.  No concerns with quality.,Five Stars
5,nice work pants love the cell phone pocket,Five Stars
5,"Fit well, great price and is extremely warm!

Thank you!",Satisfied!
5,"Excellent product, solid and fast delivery. I'm definitely pleased. You don't necessarily have to wear these classic shoes for soccer at all, they go great with everything.",Excellent product.
5,Classic shoe fits perfect delivered on time as expected recommend purchasing from this seller,Five Stars
5,no thanks,Five Stars
5,They're exactly what I expected. They won't provide a ton of support but they are super cute.,They won't provide a ton of support but they are super cute.
5,Love them!!!,Five Stars
5,My boyfriend has worn this watch everyday since Christmas.  He loves the the look of the watch and loves the feel of it even more.  The watch is super lightweight and goes with any outfit.  I have bought him many watches in the past and this one takes the cake.  He feels incomplete without this Skagen watch on his wrist.  His favorite gift on Christmas morning!,A touch of class
5,"Love these shoes for work at hospital, light and secure step and quite easy to keep clean",Great buy
5,These were exactly like the ones the insurance used to pay for.  Thank you,Thank you
5,Terrific original sneakers.  We keep ordering because better than any of the knock-offs.,Five Stars
5,Fit well and look nice.  Easy to clean.,Exactly what I wanted.
5,"This is the first pair of Isotoners that I've purchased with this type of heel and arch support. They are really comfortable for me - when I'm at home, I'm in my house shoes. I'm seriously thinking of ordering another pair!",Love these house shoes
5,"What a Great watch,And shipped 123 Great Thank you.","What a Great watch, And shipped 123 Great Thank you"
5,amazing design from Casio. less price to compare some other brand.amazon delivered this expect time. and packing also very good.some models from Casio is very attractive. i select by online. chronograph watches too expensive to compare this model.,jani
5,"Since I have wide AND small feet, I was actually able to buy shoes that weren't 1 or 2 sizes larger!  The extra widths that these shoes are available in made it possible to get the perfect sizing.  Ahhhh, relief!!  I will definitely buy more.  Thank you!",EXTREMELY comfortable!!
5,"Watches given Christmas Eve to 6 and almost 4-year old grandchildren.  Two days later 6-year-old could tell time to the correct minute. 4-year old less motivated, but both are wearing watches all the time, except when taking baths.",Teacher Watches
5,I love these slippers!  These are probably the most comfortable pair of slippers I've ever owned and I actually bought 4 pairs.  One for me and three as gifts.,Really Comfortable
5,Sexy,Sexy
5,very supportive!,Five Stars
5,"So comfortable, nice looking, the straps are adjustable for a perfect fit, and best of all, the straps are velcro.  Just pull them over and you're on your way!","Looks great, feels great"
5,"I wear them around the house because they're comfortable and the elasticated upper edges prevent them slipping off.  However, their biggest plus is that the soft leather soles are perfect for wearing indoors on wooden floors because they don't leave skid marks (like some rubber soles can do).",Perfect for wearing indoors on wooden floors.
5,"Fit my son's big feet. My son tells me he is a size 14, He says these boots are comfortable.",Fit my son's big feet. Bit larget
5,Looks very cute,Very cute
5,This chain is very beautiful! I tried it with several of my pendants and it looks really great! Arrived very fast and the packing is nice as well. See customer image from Amorina above. Recommended.,Great item!
5,"Very nice old school shoes! Comfortable, and made from good materials. Also very good quality! Very happy to have them!",Very nice old school shoes
5,Excellent quality turtleneck.  Thick cotton and the neck does not lose its elasticity.  Keeps you warm but doesn't restrict movement.,Great fit and comfort
5,Good,Five Stars
5,"My husband is working on concrete 10-12 hours a day, he has trouble finding shoes that don't have seams on the inside which hurt his feet, these did not have seams inside, and felt comfortable right out of the box.  Home run !!  Great Product .",Awesome !
5,Love product. Got lots of compliments.,Five Stars
5,Great product and quality material. Comfort and support right out the box. Will be purchasing another pair for whenever these wear out.,Great purchase
5,These slippers are very comfortable and sturdy. I love the look of them. I've been looking for the perfect slippers for quite a while and finally found them. I couldn't be happier.,Perfect slippers
5,One of my favorites,Five Stars
5,"A little tight at first, but after a week of wearing them the canvas stretched out and fit was perfect.",but after a week of wearing them the canvas stretched out and fit was perfect.
5,Great Shoes!,Five Stars
5,This is my 2nd pair of these comfy slippers. I wear a 9.5 and the 8-9 fits perfect.,5 and the 8-9 fits perfect.
5,As expected,Five Stars
5,My favorite,Five Stars
5,"Big, big fan of these during the first few months of the pregnancy and the first few months post-nursing.  It won't help your cup size at all, but they easily add the extra inch or so that we all need when a few extra pounds come on.  I used these on nursing bras, regular bras, and even sports bras with no problems at all.  Even when playing soccer or doing high-impact workouts, the extenders stayed in place and stayed comfortable. Also nice to be able to buy a bra size down on the chest measurement when the price or availability is good, but the size is just a bit too small.
Every woman should have these in their lingerie drawer.",Good for every woman to have.
5,So great I bought two pairs!,Five Stars
5,"Very comfortable and great for the value, but do not expect them to hold up like a more expensive pair. The leather sole is very thin. With most leather shoes you can replace the heal at least once or twice before the sole is worn out, but you won't be able to with these. The kidskin leather is very soft and comfortable though. And for the price, you can afford to just replace the whole shoe rather than putting on a new heal or sole.",COMFORTABLE
5,My wife wears them for line dancing. She wears out a pair about every 6-8 months. She enjoys these and great price!,She enjoys these and great price!
5,"My son is a mechanic, on his knees, on cement, all day. He Loves them",Great lined pants
5,I have several pairs of Sanuk Yoga Mat Flip Flops!  I use them for indoor shoes instead of house shoes and they last way longer than house shoes!  Then of course I have different pairs to wear when I go out on warm spring days and in the summer.  They are super comfy...especially between your toes and I would definitely recommend them!,Love my Sanuk's!
5,nice,Five Stars
5,"I received an Made in Italy sunglasses and it is awesome. Its a gift to my brother for his birthday, and it arrived in time.","Feels Great, Feels Even Better"
5,Dance shoes are very well made and I have always trusted this company for all my dance shoes. My girls will enjoy these and many more sets to come.,excellent quality.
5,"Cute shoes, very comfortable",Five Stars
5,I love it and will order more soon.,Five Stars
5,Great product. Works like a chart,Like a charm
5,Now I have 3 pairs of these shoes. They are very comfy and run true to size. Thanks!,Five Stars
5,"I was a little nervous going with such a bold bright color, but it works with so many outfits. I originally got a grey pair and regretted it, so decided to go with the pink. The only thing is they leave blisters, but any shoes like this will.",Love the color!
1,looks weird,One Star
1,I am extremely disappointed with this product. I purchased it as a gift which I will not be able to give. The material looks and feels really cheap. There are 3 zippers and one of them is a completely different tone of gold. Overall this is poorly made and overpriced. Do not recommend!,I am extremely disappointed with this product
1,I returned it after the first time I used. It is a small umbrella and does not protect from heavy rain. Not recommended.,waste of money
1,"This swimsuit is just not made for busty women. I may have been able to fit into it otherwise, but it just did not work in this regard.",This swimsuit is just not made for busty women. ...
1,"I purchased this wallet as a temporary one while mine was being repaired. It was a complete piece of junk. The card holders were so loose, my credit cards and ID were always falling out. I almost lost them many times. After about a week, my solution was to put a rubber band around the wallet to keep them in - which kind of defeats the purpose of a wallet. Once I got my wallet back, I threw this one out.",You will lose your credit cards...
1,Too small and not well made. Not even worth the price to return it and I love cats so was really excited to buy this sweatshirt. Disappointed.,Runs very small and not well made!
1,"I LOVE Cumulus 15 shoes. They have become progressively worse through 16, 17 and now 18 is awful! no arch or side support, and they seem to have no shape at all.  very disappointed.",Bring back cumulus 15! These are junk.
1,The waist band rolled up like a window shade.  Not enough room in the male area. I was looking for a replacement for Joe Boxer brand underwear which are no longer available. These ain't them!,The waist band rolled up like a window shade
1,"Nothing like what's shown. Sizing is way off, material is horrible and the style is crap. I thought because it was on prime it wouldn't have been a rip off but it is. It's straight from China.",Do not buy!!!!
1,THIS WAS SO SMALL,THIS WAS NOT A LARGE
1,My son wore the shoes to school one day.  The front was all scuffed up so they will be returned.,Scuffs Easily
1,Liked the skirt. Wore it once. Didn't wash. The zipper broke apart in the middle.,One Star
1,they are too big for modern ties. cheaply made,too big for modern ties.
1,The hem is too long on one side and too short on the other. It's cheaply made and just a waste of money. I threw it in the garbage.,It's cheaply made and just a waste of money
1,"These are so big it's ridiculous. I don't even have a small head! (3 & 1/2 in fitted baseball hat size!)
The lenses are cheap plastic too and with the mirror tint it's so noticeable that everything is warped in its reflection",These are so big it's ridiculous. I don't even ...
1,"The material is very thin and the sewing is poorly done. One side of the zipper goes beyond the hemline of the back of the dress! It sticks out and if cut, the zipper will not work properly and fall off. I understand this is a cheaper priced dress but isn't basic quality control and an inspection a given?",The material is very thin and the sewing is poorly ...
1,"They don't lok like hearts and even with a screw back, they came off..waste of money",Don't by unless child is inactive
1,"Too long, too tight, don't like material. going to return.",don't like material. going to return
1,This bracelet smelled moldy.,One Star
1,Too small,Too small
1,Garbage! Stains on it very thin made in China crap,Never again
1,Runs very small,One Star
1,"way too small, maybe they are for children, does fit my 10 year old grandaughter",One Star
1,"Very unsupportive, especially if you have a high arch. I would never purchase these again.",No Arch Support
1,The fit was much smaller than expected for the size ordered.  I had to return it.,One Star
1,"Im 180 lbs (5' 2"") and wear a 38C.
orderd a C cup which covered my half of my breasts nicely.. once i clipped it on it looked like i was braless again. It did not support my breast nor did it perk it up at all. i ended up giving it to my 13 year old sister who wears 34A or size small sports bras.
anyways shes 13 and will never wear it but hey now she cant saw i give her things....",don't wear if your over a B cup
1,The fabric is so thin you can see right through it and it's fit much smaller than stated,One Star
1,"Do not like this shoes.  They are not flexible, like walking in wooden shoes, very uncomfortable. Sorry I bought them",Uncomfortable shoes
1,it doesn't fit as it says in the label it was probably for a 24 month old.,One Star
1,This should be for a kid. Very small.,Very small
1,"It was marked XXL, which I ordered, but fit like a M.  Terrible.  Now I have to hastle sending it back.",but fit like a M
1,"Not sure why there are good reviews. It fits like a bag. You have to pose like the picture for it to look cute. It looks like a baggy, bunched up shirt. Material is soft but this is false advertising",Not at all like picture. Don't buy
1,"The fabric is itchy and visibly cheap, wouldn't wear it to a costume party.",One Star
1,"Washed and hung to dry these leggings once.  Got to wear them 1 1/2 times.  I went to the beach with my husband to go fishing.  What to wear,  of course my cute leggings.  I looked down and the right leg well ripped completely off at the thigh area! For no reason at all.  What's a girl to do but scrunch up the left leg to the thigh area and continue fishing.  Funny now but not then.  Will never buy again unless you really like to wear clothes once.",cute and adorable but NO
1,"These flannel pants were great until I washed them.  The must have shrunk a good 3 inches!  My son is 10 and I purchased the 10-12 size.  Had I known they would shrink this much, I would have sized up.  Not worth the money!!",These flannel pants were great until I washed them
3,The straps are good quality and what I was expecting as a replacement for the original. However the price was very high ($29) compared to the original watch and strap ($35),Check costs
3,"it fit ok a little bit large but is ok. the color is like in the pic. there is a thing that i like, at the nape it has a soft layer that is gorgeous",it's ok
3,My daughter is about 5'5 and a 100 pounds It's a little tight and a little short but it is a cute outfit I got a medium thinking a large would be too big,My daughter is about 5'5 and a 100 pounds It's ...
3,Good shoes cute but I did not like the satin fabric and it looked more off white than white in my opinion. Wore these for my wedding shoes because for some reason no one wanted to sell white shoes at the time! so I had to go with these a little too foo foo in my opinion but desperate times calls for desperate measures. Cute shoes just not for me but I stuck it out but at least they were comfortable,Good shoes cute but I did not like the satin ...
3,Not as pretty as expected and tarnishes easily.,Three Stars
3,Looks great. Needs to be longer!,Three Stars
3,"Not water proof, can't handle cold weather well",Three Stars
3,"I bought this ring as a gift and my friend was absolutely thrilled. That is, until the stones started falling out after a few months of wear. She wore it everyday, but not for messy activities or in the water, etc. One of the large stones broke in half somehow and then half of it fell out. This ring is beautiful; however, it seems to be rather cheaply made. It would be just fine for gentle use, but not for daily wear over a long period of time.",Beautiful but cheap.
3,Really cute but a half size too small and can't return them because I threw out the box.,Three Stars
3,I was a little disappointed that I paid 4.99 for them to gift wrap it and they put it in a box no wrapping and or ribbon,dont pay for gift wrapping
3,"I bought these for my daughter and she was not happy with them. She thought they were uncomfortable and too baggy - as she said ""granny panties."" Learned my lesson about buying undergarments without my child present.","Nice product, but my daughter was not pleased"
