overall,reviews
1,These are darling! I love how dainty and sparkly they are. They fit my 2nd piercing perfectly- I get worried with crawler earrings that they'll be too long. These are so cute! I'd totally buy from this seller again.
1,Absolutely stunning! I am in love with these earrings! Very fast shipping and cute packaging ❤
1,"Got these once before for me and my brides maids on my wedding day! They're perfect, mine lost a jewel somewhere along the way (a year ago, and I stored them in my coin purse, not the best place for something to beautiful!), so I decided to order another set!"
1,"I love how dainty and unique they are.  I got the gold and I'm glad I did.  You don't really notice the gold, but I feel it makes the stones pop."
1,"This is a really beautiful piece! I had been looking for a new crawler to put in my upper cartilage piercing, and it works perfect (once I figured out which one works best with my ear curve!) but it’s beautifully done and I really love the style of the baguettes in the earring! Love love love! And super quick shipping"
1,I absolutely LOVE my earrings! They are so unique and dainty. I’ve had so many compliments on them already and Connor wait to wear them for the wedding I’m in next week. I would recommend ordering from MilysDesign! My order was processed quickly and came wrapped safely in bubble wrap so the earrings wouldn’t get damaged.
1,Soooo dainty and sparkly. Can’t wait to wear them for an art-deco feel.  UPDATE: I went to bend the wire back a tad to be able to get it into my piercing hole and the whole back broke off :( hot glue won’t hold it and I’m so sad! I’ll keep the one for a mix n match look but be careful because these babies are delicate!!!
1,"These are so pretty, I've gotten lots of compliments.  If I could do it over, I'd probably go with the post backs instead of the wire, but that's just personal preference.  You do beautiful work!!!"
1,"Wasn't exactly flush to my ear like I was hoping from the picture, but I was able to move it a bit and adjust it so it was. It's beautiful otherwise! Fast shipping."
1,The pieces are beautiful and fitted. I plan on buying more soon
1,These are stunning! I absolutely love them! Same as picture!
1,"These earrings are beautiful! So dainty and classy. There’s just enough sparkle to wear them when you’re dressing up, but I also think you could wear them everyday. Very pleased with this purchase."
1,"Oh my goodness, these earrings are absolutely gorgeous! I had to try them on as soon as I got them and I am SO happy I made this purchase! They’re the perfect size and I already know I’m going to wear them all the time. Quick shipping too!"
1,Absolutely stunning! I am so happy with these earrings!
1,"So pretty!! Looks gorgeous on your ear lobe :) :) the perfect amount of sparkle and twinkle. I’m in love with them 😍
Buy them you won’t regret it!"
1,"Love them! They fit great and were exactly as advertised. It was my first time trying climber earrings, and I got the wire back."
1,I love how dainty and cute this is! My only wish was that the backing wasn’t a post and more of a longer ear jacket. But i love it!
1,So excited to have these on my wedding day. Wanted a little sparkle but not dangling!
1,They are beautiful!
1,I was hesitant about getting my first pair of crawlers bit glad I went for it. They're the perfect size! They also arrived super quickly
1,these are STUNNING!! i got the wire back and they stay in perfectly without needing to put the backs on
1,"Love these earrings. My first pair or ear climbers! A bit smaller than anticipated, but the perfect amount of sparkle. I've received so many compliments!"
1,Parfaite. Conforme aux photos j'adore !
1,The earrings are beautiful! They’re smaller than I thought it would be. It’s dainty and pretty and I’m so excited to wear them. I was a little worried when I saw the package because it looked a little beat up but the earrings were well wrapped and protected.
1,The ear rings are beautiful! I love them! Arrived fast! ❤️
1,Absolutely stunning earrings beautifully made and fast delivery even though it came from the USA to England
1,So beautiful! Thank you 🙏🏻🙏🏻
1,Dainty and it looks SO nice!
1,I received my earrings today. They are beautiful!!!! So happy with them! Thank you so much!
1,"So glad I took a chance and ordered these beautiful earrings. I have minimalist taste, especially when it comes to jewelry. The earrings can be worn around the house in quarantine with a sweatshirt or in the event I go somewhere special again some day, they can easily compliment the dressiest of outfits. They make me feel pretty and I highly recommend them to anyone. This will be my go to shop for gifts for friends or when I want to treat myself."
1,I love these earrings! This is the fourth pair that I've ordered from MilysDesign. They're so comfortable and light. I get compliments every time I wear them.
1,These are absolutely gorgeous!!! Thank you so much!
1,love these so much! i wear them daily. they’re great quality and so pretty
1,"Even better in person! Loved the style
And fit."
1,Super cute!
1,So adorable!!!
1,Super pretty and delicate earrings.  Just 4 of 5 because they don’t always stay in place on my ears; I find them trailing off the end of my earlobes.  Which is still pretty but up to your personal preference. My experience with the shop was very positive. Quick shipping and well packaged. Will shop here again.
1,Very cute earrings. They stay in nicely (ear climbers are tricky so sometimes you do have to pinch the very end). These are a simple design that can be worn with pretty much anything!
1,These are even more beautiful in person! I love them!
1,Love them! They look so pretty and I can’t wait to show them off! I definitely want to purchase more for friends and family in the future!
1,"one of my favorite earrings i’ve bought so far. i love it, it has a very classy look to it but i’d wear it everyday!"
1,"I bought these adorable earrings as a birthday gift for my granddaughter. I gave her two sets and she shared the second set with me, Grammy!!  
The only thing I would have to say in regards to making them better.... they stay on your ears much more secure with a larger back on the earrings. They tend to slip down on your ear with the small earring back that they come with.
Still rate them a 5 star!!  We love  ‘em!!"
1,"I  really like the earrings,had a few compliments  already (very pretty)"
1,Beautiful earrings!! Will buy from this shop again! ❤️
1,"The owner of this store was absolutely lovely to work with - thank you! The earrings are gorgeous, too."
1,"I'm super impressed with Lucy's professionalism and how easy she is to work with. One of my earrings arrived missing a stone, and she sent me a replacement in two days. She didn't ask me to send to flawed piece back to her either, which I appreciate (shipping fees). I'll definitely buy from her again, and would encourage my friends to buy from her too. 
I love the dainty sparkle of the earrings in my chubby ear next to my larger diamonds; they look like a trellis leading to a flower. I'm very, very happy with my purchase ❣️"
1,"Love these ear climbers.
Very petite and feminine!"
1,Beautiful product. I got the post back first and it didn’t sit right so seller let me return and meanwhile I purchased a wire back which fit perfectly. Very happy!
1,They are absolutely beautiful! Very elegant and pretty! I can't wait to wear them to work. Will be buying more!
1,Beautiful look great received lots of compliments
1,"Loved it! I bought it to put in my helix piercing, but can’t change that one yet. Until then, wearing it like this and I love it 🥰 thanks again!"
1,Stunning. So sparkly and dainty. love it!
1,These earrings are gorgeous. Love them!
1,Very pretty indeed!  All the way from the States and worth the wait!
1,Absolutely delicate and beautiful! Prettier in person even than in the photos!
1,Adorable earrings! Such a fan of these crawlers.
1,"soo pretty, I love them"
1,Absolutely gorgeous!!! Will be purchasing more!
1,I love this purchase! They're beautiful earrings and came in a gift bag ready for giving . . . although I gave these to myself. Would definitely buy again from this seller.
1,"These earrings are so beautiful. They're easy to put on and look really pretty. They are minimal, but bold at the same time.  I can dress them up, wear them to work, or wear them around the house. Thank you. They're perfect!! 🖤🖤"
1,Love these!! Second purchase from this seller. These can be dressed up or for every day. Beautiful!
1,"Love these!! Most ear climbers are too long and bulky, but these are just right"
1,"Cute, comfortable and the perfect size! I have bought 3 pairs of earrings from this seller and they are all staples."
1,its simple and pretty. Easy to put in too
1,Arrived in great condition and the design is sooo beautiful!!
1,Beautiful!! Love the minimalist look. Would buy again!
1,This is one of two pairs I ordered for Christmas presents and they are gorgeous. The pictures do not do them justice. Thank you!
1,"Super fast shipping, beautiful earrings so happy with my purchase."
1,Loved these enough to wear them for my wedding!
1,"The earrings are gorgeous! They shipped quickly, are comfortable, and go with every outfit!"
1,"Love it!  Gorgeous and comfortable to wear, so pretty thanks!"
1,"Even better in person! Favorite crawler so far, stay in place nicely."
1,"They are so pretty!! Unfortunately my ears start itching when I have them on so I  guess I'm allergic to them. Also, I chose the post back and the tail of the earrings kept sliding down instead of staying up in place. I do not recommend the post back. If your ears aren't as sensitive as mine to certain earrings then I do recommend these cuz they are really pretty, its just a shame it didn't work out for me."
1,Gorgeous earrings! Exactly what I wanted and was looking for! THANK YOU!!
1,"ABSOLUTELY PERFECT!!!!! They are stunning, comfortable, exactly as pictured."
1,Absolutely gorgeous! So dainty and classy!
1,These earrings are delicate and gorgeous. I will be buying from this shop again.
1,Unique and understated!  Easy to put on too.
1,Super cute and well made.
1,Even more pretty and delicate in real life. Very quick shipping!
1,"Delicate, beautiful, sparkly and awesome!"
1,Just as beautiful as pictured.
1,Love them. They are exactly as they look in the picture. Super comfortable.
1,"Very pretty,. Love them and great price!"
1,I bought these as a gift and they were perfect! So simply but beautiful. Great quality and arrived quickly!
1,Amazing! Love these
1,"Super cute I love them, thank you! :)"
1,Really beautiful. So unique.Fits perfectly.
1,Beautiful!! These are beautiful and delicate and exactly as described
1,These are as beautiful as pictured I love them and wear them often!
1,So beautiful and dainty. I can’t wait to wear them to dress up a cute outfit! Shipping was very quick. Thank you!
1,Very dainty and elegant. Feel comfortable to wear. Shipping was quick.
1,Thanks. They’re pretty.
1,Beautiful!! I’ll be wearing these daily!!
1,Really like these delicate looking crawlers. Delivered quickly.
1,"I received these earring quickly, which is great because they’re meant to be a present. They’re also very cute!"
1,Great earings and Lucy is very nice
1,"This is exactly what I wanted. They're perfect, thank you!"
1,The backing of one of the earrings accidentally broke and the seller was so kind to send another one so quickly. These earrings are so cute!
1,The earrings are lovely! Love the design. Shipped quickly. Thanks so much!
1,Very pretty. Looks exactly like shown.
1,"Super cute, fits perfectly and is exactly as shown on picture."
1,These were beautiful. It was a hard decision between these and the first earrings in my order in terms of what to buy for my sisters!
1,My daughter loves these earrings!
1,Beautiful earrings and quick delivery!
1,Awesome quality and came quickly! Love the earrings!
1,Thanks. Got them on time and my daughter loves them.
1,Beautiful earrings! My new go-to pair.
1,Super cute earrings and super fast shipping!
1,Very pretty! Great service
1,"Pretty, excited to wear them"
1,Just as beautiful as in the photo!
1,Beautiful and the posts fit well and keep the earrings on.
1,These earrings are just as beautiful as the picture. Cannot wait to wear them!
1,"Bought these as bridesmaids gifts, loved them so much I kept one pair for myself and ordered another lol"
1,Beautiful Earrings! Came very fast!
1,Very pretty and delicate. A little hard to get on.  But lovely
1,"beautiful, works well on my ear."
1,So beautiful! My sister will love these for Christmas and I can't wait to give them to her! Thank you for such beautiful earrings!
1,Beautiful earrings! Fast shipping. Thank you!
1,Really delicate and beautifully packaged.
1,Great earrings! Came fast and nicely wrapped!
1,These are beautiful and sparkly. But the third time I tried wearing them the post broke off.
1,One earring came broke - sent another with no problems. Excellent customer service.....
1,"Beautiful earrings, I love wearing them!"
1,They are as pictured and look very cute in person.  Fast shipping.
1,The recipient of these earrings loved them.
1,Beautiful earrings and fast shipping!
1,Bought these earrings for my daughter.  She loves them and the look very nice.
1,"Exactly as pictured, and a very helpful seller :) Bought for bridesmaids, but may buy some more for myself!"
1,"Lovely and feminine earrings, received quickly."
1,So cute - wear them everyday :)
1,Bought as a christmas present and it was very well received.
1,So cute! Cant wait to wear
1,"A+++++++ seller, looks very expensive. Will purchase again from this seller."
1,Smaller than expected
1,"Beautiful and dainty BUT the back of the earrings weren't as long as I expected them to be and subsequently, one fell out while wearing. I didn't even have them a week before losing one not. I don't know if you necessarily blame the product for that or not though?"
1,This is my second pair of aspera earrings and I’m obsessed. I love minimalist jewelry and theirs is unique and beautiful. Thank you.
1,These mini pin earrings were exactly what I was looking for to complete my daily earring look!  I'm wearing them in my double piercings and they are perfect.
1,"Quick to respond, rapid shipping and beautiful packaging! Earrings are the most dainty, beautiful, flattering and quality earrings! Bought theses for my wedding day earrings and couldn't be happier. Wear them whenever I have the chance now:)
 Thank you so much!"
1,Really pretty little earring. Perfectly sized for my top lobe piercing. Great customer service as well!
1,Beautiful!
1,"I really love my earrings. They arrived quickly in eco-friendly packaging (love that). Also I have had another style of this earring and it fell out. However, this style is great, stays in place and it will not fall out. Overall a great product :) WIll shop at this store again soon."
1,"I ordered the smallest size and they are so simple and pretty, hanging just below my earlobe. I love them."
1,These were a lot smaller than I was expecting it they are really cute. Great quality.
1,"Super cute earrings, but more importantly I was shocked by how comfortable they are, nothing pokes into your head like the backs of normal earrings. The only issue I have is that they can definitely fall out easily so be careful if you are for some reason moving around on a bed 🤷🏼‍♀️"
1,Simple and beautiful earrings. Love them.
1,"Beautiful little earrings! I'm wearing them for my wedding so I wish it had a little box or what not to keep it in until then, but I really appreciated the eco-friendly packaging and super fast service!! Will be buying another pair :)"
1,Adorable earrings! The shipped quickly and seem to be really good quality.
1,Beautiful. Shipping was a little slow. But the earrings were well worth the wait :)
1,They are perfect. thank you!
1,"They're pretty, but they're very flimsy. I don't think they're worth the price I paid for them, to be honest."
1,Great item at an amazing price! Came packaged professionally. The seller was more than happy to answer all my questions before I purchased the item.
1,"I don't know if I'm wearing it wrong, but it doesn't stay on very well so I haven't worn it, I'm afraid I'll lose it. Eh."
1,"Merci beaucoup, envoi soigné et rapide"
